0,Aasen,Germany,1,47.983,8.55,717
Date (MM/DD/YYYY),Time (HH:MM),GHI (W/m^2),DNI (W/m^2),DHI (W/m^2),Dry-bulb (C),Pressure (mbar),Alb
01/10/2021,22:00:00,,,,-5.525,1013.0,0.25
01/10/2021,23:00:00,,,,-5.291667,1013.0,0.25
01/11/2021,00:00:00,,,,-5.358334,1013.0,0.25
01/11/2021,01:00:00,,,,-5.966667,1013.0,0.25
01/11/2021,02:00:00,,,,-9.883333,1013.0,0.25
01/11/2021,03:00:00,,,,-11.90833,1013.0,0.25
01/11/2021,04:00:00,,,,-13.6,1013.0,0.25
01/11/2021,05:00:00,,,,-15.625,1013.0,0.25
01/11/2021,06:00:00,,,,-13.54167,1013.0,0.25
01/11/2021,07:00:00,0.8,,,-10.88333,1013.0,0.25
01/11/2021,08:00:00,5.658333,0.0,5.658333,-11.09167,1013.0,0.25
01/11/2021,09:00:00,25.9,0.0,25.9,-8.475,1013.0,0.25
01/11/2021,10:00:00,49.35,0.0,49.35,-5.641666,1013.0,0.25
01/11/2021,11:00:00,77.50833,0.0,77.50833,-4.991667,1013.0,0.25
01/11/2021,12:00:00,93.23334,0.0,93.23334,-4.35,1013.0,0.25
01/11/2021,13:00:00,149.2583,88.22261857368007,122.93657205398515,-3.058333,1013.0,0.25
01/11/2021,14:00:00,131.2917,188.31019645811628,89.88306467560437,-1.283333,1013.0,0.25
01/11/2021,15:00:00,79.70833,322.58038625669013,45.023123839228305,-1.25,1013.0,0.25
01/11/2021,16:00:00,21.14167,,,-4.633333,1013.0,0.25
01/11/2021,17:00:00,1.34,,,-10.25,1013.0,0.25
01/11/2021,18:00:00,,,,-7.966667,1013.0,0.25
01/11/2021,19:00:00,,,,-6.508333,1013.0,0.25
01/11/2021,20:00:00,,,,-6.35,1013.0,0.25
01/11/2021,21:00:00,,,,-6.116667,1013.0,0.25
01/11/2021,22:00:00,,,,-7.616667,1013.0,0.25
01/11/2021,23:00:00,,,,-9.675,1013.0,0.25
01/12/2021,00:00:00,,,,-10.30833,1013.0,0.25
01/12/2021,01:00:00,,,,-11.79167,1013.0,0.25
01/12/2021,02:00:00,,,,-9.35,1013.0,0.25
01/12/2021,03:00:00,,,,-8.758333,1013.0,0.25
01/12/2021,04:00:00,,,,-6.991667,1013.0,0.25
01/12/2021,05:00:00,,,,-5.425,1013.0,0.25
01/12/2021,06:00:00,,,,-4.483334,1013.0,0.25
01/12/2021,07:00:00,0.5666667,,,-3.575,1013.0,0.25
01/12/2021,08:00:00,3.916667,0.0,3.916667,-3.333333,1013.0,0.25
01/12/2021,09:00:00,17.99167,0.0,17.99167,-2.808333,1013.0,0.25
01/12/2021,10:00:00,35.625,0.0,35.625,-1.933333,1013.0,0.25
01/12/2021,11:00:00,40.53333,0.0,40.53333,-0.8083333,1013.0,0.25
01/12/2021,12:00:00,38.025,0.0,38.025,-0.5916667,1013.0,0.25
01/12/2021,13:00:00,36.83333,0.0,36.83333,-0.5166667,1013.0,0.25
01/12/2021,14:00:00,14.73333,0.0,14.73333,0.2166667,1013.0,0.25
01/12/2021,15:00:00,16.95,0.0,16.95,0.8083333,1013.0,0.25
01/12/2021,16:00:00,4.433333,,,0.8,1013.0,0.25
01/12/2021,17:00:00,0.75,,,0.8,1013.0,0.25
01/12/2021,18:00:00,,,,0.5416667,1013.0,0.25
01/12/2021,19:00:00,,,,0.5,1013.0,0.25
01/12/2021,20:00:00,,,,0.7333333,1013.0,0.25
01/12/2021,21:00:00,,,,0.9666666,1013.0,0.25
01/12/2021,22:00:00,,,,0.85,1013.0,0.25
01/12/2021,23:00:00,,,,0.3333333,1013.0,0.25
01/13/2021,00:00:00,,,,0.45,1013.0,0.25
01/13/2021,01:00:00,,,,0.35,1013.0,0.25
01/13/2021,02:00:00,,,,-0.008333328,1013.0,0.25
01/13/2021,03:00:00,,,,-3.783333,1013.0,0.25
01/13/2021,04:00:00,,,,-4.866667,1013.0,0.25
01/13/2021,05:00:00,,,,-4.125,1013.0,0.25
01/13/2021,06:00:00,,,,-5.225,1013.0,0.25
01/13/2021,07:00:00,0.8,,,-6.925,1013.0,0.25
01/13/2021,08:00:00,4.6,0.0,4.6,-8.141666,1013.0,0.25
01/13/2021,09:00:00,26.30833,0.0,26.30833,-3.991667,1013.0,0.25
01/13/2021,10:00:00,52.56667,0.0,52.56667,-0.3416667,1013.0,0.25
01/13/2021,11:00:00,82.04167,0.0,82.04167,1.6,1013.0,0.25
01/13/2021,12:00:00,85.84167,0.0,85.84167,1.416667,1013.0,0.25
01/13/2021,13:00:00,88.89167,0.0,88.89167,1.858333,1013.0,0.25
01/13/2021,14:00:00,91.13333,19.24606758158011,86.78728830544664,2.425,1013.0,0.25
01/13/2021,15:00:00,40.10833,5.655098066552493,39.465933708511585,1.983333,1013.0,0.25
01/13/2021,16:00:00,7.675,,,1.4,1013.0,0.25
01/13/2021,17:00:00,0.6166667,,,1.266667,1013.0,0.25
01/13/2021,18:00:00,,,,1.433333,1013.0,0.25
01/13/2021,19:00:00,,,,1.041667,1013.0,0.25
01/13/2021,20:00:00,,,,0.8416667,1013.0,0.25
01/13/2021,21:00:00,,,,0.9083333,1013.0,0.25
01/13/2021,22:00:00,,,,1.033333,1013.0,0.25
01/13/2021,23:00:00,,,,1.158333,1013.0,0.25
01/14/2021,00:00:00,,,,1.358333,1013.0,0.25
01/14/2021,01:00:00,,,,1.658333,1013.0,0.25
01/14/2021,02:00:00,,,,1.075,1013.0,0.25
01/14/2021,03:00:00,,,,0.9,1013.0,0.25
01/14/2021,04:00:00,,,,0.1916667,1013.0,0.25
